OTUnumber	SAMPLE.271.GP.6.15	SAMPLE.381.MA5.30	SAMPLE.337.GA7.90	SAMPLE.399.MF.II6.30	SAMPLE.393.MP.7.30	SAMPLE.269.GP.5.15	SAMPLE.435.MA8.90	SAMPLE.433.MA7.90	SAMPLE.409.MA7.60	SAMPLE.397.MF.II.5.30	SAMPLE.355.GF.II.8.90	SAMPLE.389.MP.5.30	SAMPLE.415.MP.6.60	SAMPLE.373.MF.II.5.15	SAMPLE.413.MP.5.60	SAMPLE.287.GA6.30	SAMPLE.331.GF.II.8.60	SAMPLE.375.MF.II6.15	SAMPLE.427.MF.II.8.60	SAMPLE.383.MA6.30	SAMPLE.265.GA7.15	SAMPLE.359.MA6.15	SAMPLE.443.MP.8.90	SAMPLE.305.GF.II.7.30	SAMPLE.315.GA8.60	SAMPLE.319.GP.6.60	SAMPLE.349.GF.II.5.90	SAMPLE.371.MP.8.15	SAMPLE.279.GF.II6.15	SAMPLE.407.MA6.60	SAMPLE.431.MA6.90	SAMPLE.451.MF.II.8.90	SAMPLE.281.GF.II.7.15	SAMPLE.303.GF.II6.30	SAMPLE.453.16S.negative	SAMPLE.369.MP.7.15	SAMPLE.439.MP.6.90	SAMPLE.379.MF.II.8.15	SAMPLE.317.GP.5.60	SAMPLE.261.GA5.15	SAMPLE.395.MP.8.30	SAMPLE.387.MA8.30	SAMPLE.339.GA8.90	SAMPLE.385.MA7.30	SAMPLE.325.GF.II.5.60	SAMPLE.351.GF.II6.90	SAMPLE.327.GF.II6.60	SAMPLE.449.MF.II.7.90	SAMPLE.421.MF.II.5.60	SAMPLE.299.GP.8.30	SAMPLE.437.MP.5.90	SAMPLE.307.GF.II.8.30	SAMPLE.277.GF.II.5.15	SAMPLE.401.MF.II.7.30	SAMPLE.357.MA5.15	SAMPLE.417.MP.7.60	SAMPLE.289.GA7.30	SAMPLE.425.MF.II.7.60	SAMPLE.263.GA6.15	SAMPLE.301.GF.II.5.30	SAMPLE.447.MF.II6.90	SAMPLE.429.MA5.90	SAMPLE.273.GP.7.15	SAMPLE.377.MF.II.7.15	SAMPLE.411.MA8.60	SAMPLE.367.MP.6.15	SAMPLE.405.MA5.60	SAMPLE.309.GA5.60	SAMPLE.423.MF.II6.60	SAMPLE.283.GF.II.8.15	SAMPLE.403.MF.II.8.30	SAMPLE.335.GA6.90	SAMPLE.295.GP.6.30	SAMPLE.293.GP.5.30	SAMPLE.329.GF.II.7.60	SAMPLE.347.GP.8.90	SAMPLE.441.MP.7.90	SAMPLE.285.GA5.30	SAMPLE.361.MA7.15	SAMPLE.333.GA5.90	SAMPLE.445.MF.II.5.90	SAMPLE.297.GP.7.30	SAMPLE.321.GP.7.60	SAMPLE.291.GA8.30	SAMPLE.365.MP.5.15	SAMPLE.343.GP.6.90	SAMPLE.341.GP.5.90	SAMPLE.323.GP.8.60	SAMPLE.267.GA8.15	SAMPLE.363.MA8.15	SAMPLE.311.GA6.60	SAMPLE.345.GP.7.90	SAMPLE.391.MP.6.30	SAMPLE.353.GF.II.7.90	SAMPLE.419.MP.8.60	SAMPLE.275.GP.8.15	SAMPLE.313.GA7.60	domain_id	domain_conf	phylum_id	phylum_conf	class_id	class_conf	order_id	order_conf	family_id	family_conf	genus_id	genus_conf
OTU_483	0	1	0	1	0	8	0	1	0	0	0	0	0	1	0	2	0	0	0	1	5	0	0	0	7	1	0	1	0	0	1	1	0	0	0	1	0	0	3	2	0	0	1	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	2	1	3	1	14	1	7	0	3	0	3	0	14	17	2	0	0	1	14	0	0	1	4	0	0	0	10	0	Bacteria	100.0	Proteobacteria	100.0	Betaproteobacteria	100.0	Betaproteobacteria_unclassified	100.0	Betaproteobacteria_unclassified	100.0	Betaproteobacteria_unclassified	100.0
OTU_484	0	10	3	18	5	9	6	6	3	10	0	8	3	5	3	7	0	5	7	7	7	8	1	1	12	3	0	3	1	3	4	8	0	0	0	2	2	3	3	11	13	1	4	8	0	1	0	5	11	10	0	0	0	10	12	5	3	16	3	0	9	1	3	19	8	9	6	1	3	1	12	8	0	14	2	8	3	7	7	2	30	28	27	10	2	5	7	14	6	7	2	11	3	0	3	23	0	Bacteria	100.0	Verrucomicrobia	100.0	Spartobacteria	100.0	Chthoniobacterales	100.0	DA101_soil_group	94.0	DA101_soil_group_unclassified	94.0
OTU_485	0	2	0	9	0	2	2	3	1	5	0	6	0	2	2	0	0	1	2	1	1	1	3	0	0	0	0	5	0	1	0	5	0	0	0	0	3	2	2	2	6	0	0	2	0	0	1	3	6	0	0	0	0	7	1	2	2	3	1	0	0	2	0	7	4	2	2	0	2	1	8	6	0	1	0	0	3	2	1	0	15	1	6	1	3	0	0	0	0	1	1	1	4	1	1	0	0	Bacteria	100.0	Actinobacteria	100.0	Actinobacteria	100.0	Micromonosporales	100.0	Micromonosporaceae	100.0	Dactylosporangium	100.0
OTU_486	0	7	0	14	2	0	6	11	2	6	0	2	2	5	1	0	2	3	2	6	1	5	3	1	1	0	0	8	1	5	6	0	0	0	0	2	4	0	0	0	4	3	0	11	0	1	0	1	6	0	0	0	0	0	7	2	0	2	2	0	7	7	0	0	17	11	11	0	11	0	1	2	0	1	0	0	6	0	13	0	9	1	0	0	0	0	0	1	1	13	0	1	3	1	6	0	0	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhodospirillales	84.0	Rhodospirillales_unclassified	84.0	Rhodospirillales_unclassified	84.0
OTU_487	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	4	0	0	2	0	5	0	0	1	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	0	0	3	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	1	0	1	0	0	0	10	0	2	2	3	0	7	0	6	2	1	12	4	0	1	2	3	7	0	2	13	1	0	0	4	0	Bacteria	100.0	Actinobacteria	100.0	MB-A2-108	100.0	MB-A2-108_unclassified	100.0	MB-A2-108_unclassified	100.0	MB-A2-108_unclassified	100.0
OTU_488	0	10	3	12	9	7	1	6	3	4	0	10	2	5	4	5	2	4	4	5	4	6	7	0	1	2	0	9	1	6	5	5	0	0	0	11	1	1	0	10	9	2	0	16	0	0	0	1	6	4	0	0	0	7	3	6	3	7	1	0	5	5	1	10	2	8	6	2	8	0	6	0	0	4	0	3	8	2	4	3	9	4	6	3	14	1	4	5	2	4	2	1	1	0	3	3	0	Bacteria	100.0	Planctomycetes	100.0	Planctomycetacia	100.0	Planctomycetales	100.0	Planctomycetaceae	100.0	Gemmata	100.0
OTU_489	0	9	4	14	7	7	8	11	6	8	0	17	12	2	14	7	1	11	6	6	7	8	7	0	21	1	0	9	0	3	4	13	1	0	0	3	5	0	3	29	11	3	15	5	0	2	0	2	16	1	4	0	0	10	6	9	12	7	2	0	11	5	4	18	5	15	13	9	11	0	18	14	0	11	0	3	5	10	14	7	10	11	14	6	3	0	5	9	7	8	4	3	4	2	4	6	6	Bacteria	100.0	Planctomycetes	100.0	Planctomycetacia	100.0	Planctomycetales	100.0	Planctomycetaceae	100.0	Pir4_lineage	98.0
OTU_490	0	1	0	0	0	0	1	0	0	1	4	1	1	0	0	1	38	0	0	0	0	0	0	15	2	1	0	1	4	0	2	1	7	0	0	0	0	0	0	3	1	0	1	1	0	2	2	1	1	1	0	3	0	1	0	0	0	1	0	0	0	0	0	2	0	1	1	1	0	17	0	0	0	1	20	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	12	0	0	1	Bacteria	100.0	Firmicutes	100.0	Bacilli	100.0	Bacillales	100.0	Paenibacillaceae	100.0	Paenibacillus	100.0
OTU_491	0	0	1	0	0	2	0	0	0	0	2	1	0	0	0	0	25	0	1	0	7	0	1	28	4	0	0	0	4	0	0	0	4	1	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	6	0	2	0	3	40	0	0	0	0	0	0	1	0	3	0	0	3	0	4	0	3	0	0	30	0	1	0	Bacteria	100.0	Proteobacteria	98.0	Gammaproteobacteria	91.0	Gammaproteobacteria_unclassified	91.0	Gammaproteobacteria_unclassified	91.0	Gammaproteobacteria_unclassified	91.0
OTU_492	0	3	0	0	12	0	4	3	4	0	0	12	0	1	12	0	0	0	0	6	0	2	5	0	0	0	0	7	1	1	1	1	0	0	0	6	0	1	0	1	7	1	0	9	0	1	0	1	4	0	3	0	0	0	8	2	0	1	0	0	0	3	0	1	2	9	4	1	0	0	3	0	0	0	1	0	11	1	4	1	3	2	1	0	10	0	1	0	0	6	0	1	2	0	6	0	1	Bacteria	100.0	Acidobacteria	100.0	Acidobacteria	100.0	Subgroup_17	100.0	Subgroup_17_unclassified	100.0	Subgroup_17_unclassified	100.0
OTU_493	0	1	10	1	0	5	4	2	2	0	1	2	1	2	6	1	19	0	1	1	12	1	0	7	7	1	1	0	42	2	4	1	3	0	0	1	1	0	3	2	0	0	6	0	0	13	28	0	0	1	0	6	0	1	2	3	6	0	1	0	0	0	0	1	2	3	4	3	1	13	0	5	0	5	11	1	3	4	3	0	0	0	3	6	3	1	2	0	2	3	5	0	0	10	0	3	3	Bacteria	100.0	Planctomycetes	100.0	Planctomycetacia	100.0	Planctomycetales	100.0	Planctomycetaceae	100.0	Pir4_lineage	99.0
OTU_494	0	0	1	0	0	1	0	1	0	1	0	0	4	0	0	14	0	1	0	1	2	0	4	1	29	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	3	0	19	0	0	0	1	3	0	0	0	0	0	1	1	5	0	10	9	0	0	0	0	3	1	5	0	1	0	0	0	13	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	2	0	1	0	3	0	0	Bacteria	100.0	Bacteroidetes	100.0	Sphingobacteriia	99.0	Sphingobacteriales	99.0	env.OPS_17	96.0	env.OPS_17_unclassified	96.0
OTU_495	0	0	1	2	1	0	0	1	0	0	7	1	0	0	1	0	34	0	0	0	0	1	0	6	0	0	0	0	88	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	38	61	0	0	0	0	8	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	1	0	0	0	12	0	1	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	15	0	0	0	Bacteria	100.0	Chloroflexi	100.0	JG37-AG-4	100.0	JG37-AG-4_unclassified	100.0	JG37-AG-4_unclassified	100.0	JG37-AG-4_unclassified	100.0
OTU_496	0	8	6	7	4	14	3	3	0	1	1	7	7	3	5	13	1	4	6	2	8	6	8	1	22	2	0	20	0	2	0	6	0	0	0	5	2	1	6	19	11	1	12	5	0	0	0	1	10	7	0	0	0	10	6	12	8	13	6	0	9	2	4	6	4	20	7	4	5	1	8	6	0	11	0	4	5	8	6	3	11	14	24	9	2	0	8	12	6	8	4	8	2	0	9	8	2	Bacteria	100.0	Planctomycetes	100.0	Planctomycetacia	100.0	Planctomycetales	100.0	Planctomycetaceae	100.0	Pir4_lineage	65.0
OTU_497	0	1	0	14	1	20	1	0	1	6	0	2	7	5	0	12	2	5	5	0	11	1	1	0	10	1	0	5	0	1	0	7	0	0	0	0	4	4	2	9	5	0	5	1	0	0	1	8	14	2	0	0	0	15	2	0	5	10	1	0	4	0	4	26	4	5	2	4	6	3	9	8	0	7	1	10	0	0	0	0	19	20	23	4	0	4	6	6	6	0	1	7	2	1	3	14	3	Bacteria	100.0	Actinobacteria	100.0	Thermoleophilia	100.0	Gaiellales	100.0	Gaiellaceae	82.0	Gaiella	82.0
OTU_498	0	5	0	36	7	0	5	5	2	6	0	2	6	3	2	4	1	24	3	3	1	1	6	3	3	0	0	15	0	3	2	5	0	0	0	7	2	1	0	7	15	1	3	7	0	0	1	0	10	0	1	0	0	4	3	11	0	8	0	0	28	0	0	14	4	10	2	8	15	0	20	5	0	2	0	1	8	2	7	0	11	0	0	1	0	0	0	0	2	6	0	0	1	0	8	1	0	Bacteria	100.0	Bacteria_unclassified	100.0	Bacteria_unclassified	100.0	Bacteria_unclassified	100.0	Bacteria_unclassified	100.0	Bacteria_unclassified	100.0
OTU_499	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	12	0	0	0	32	0	0	1	0	0	24	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	100.0	Thaumarchaeota	100.0	Marine_Group_I	100.0	Marine_Group_I_unclassified	100.0	Marine_Group_I_unclassified	100.0	Marine_Group_I_unclassified	100.0
OTU_500	0	0	5	2	0	36	0	2	0	1	3	2	0	0	0	5	7	1	0	1	14	0	1	15	5	2	0	0	39	0	0	0	15	0	0	0	2	0	4	2	1	0	5	0	0	12	22	3	0	4	0	1	0	1	4	0	5	0	2	0	4	0	2	0	1	0	2	0	0	4	2	5	0	13	21	4	3	2	0	2	1	10	14	9	0	4	13	4	10	0	3	4	1	33	0	3	3	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhodospirillales	99.0	DA111	99.0	DA111_unclassified	99.0
OTU_501	0	12	5	1	2	1	9	7	2	0	0	2	2	0	0	14	1	1	0	13	16	12	1	0	7	0	0	5	2	5	11	0	0	0	0	1	0	0	0	15	5	5	10	23	0	2	0	0	1	0	0	0	0	0	7	3	8	0	2	0	2	6	1	1	3	3	11	6	0	0	2	8	0	1	0	0	2	6	16	6	0	3	0	8	5	0	1	0	7	13	3	0	1	0	5	0	3	Bacteria	100.0	Cyanobacteria	100.0	Chloroplast	100.0	Chloroplast_unclassified	100.0	Chloroplast_unclassified	100.0	Chloroplast_unclassified	100.0
OTU_502	0	5	6	15	1	13	5	10	1	11	0	7	12	10	2	4	2	7	5	2	23	1	4	0	23	1	0	14	2	3	2	6	0	0	0	2	7	3	2	13	13	1	7	6	0	1	2	3	6	6	0	0	0	16	3	10	9	10	2	0	11	1	4	25	2	18	5	3	4	0	10	8	0	4	0	8	4	7	3	5	15	6	26	10	4	5	7	8	11	0	2	6	2	1	9	9	1	Bacteria	100.0	Actinobacteria	96.0	Actinobacteria_unclassified	96.0	Actinobacteria_unclassified	96.0	Actinobacteria_unclassified	96.0	Actinobacteria_unclassified	96.0
OTU_503	0	6	0	2	14	5	6	2	3	3	0	9	11	3	12	3	2	2	3	5	2	4	10	0	2	1	0	21	2	0	1	4	0	0	0	8	5	1	0	3	18	2	1	5	0	1	1	3	2	0	0	0	0	6	11	13	0	16	1	0	3	8	0	9	6	5	8	3	5	0	4	4	0	4	0	0	7	2	6	3	8	0	2	1	10	0	1	0	1	0	0	1	3	1	17	3	1	Bacteria	100.0	Proteobacteria	96.0	Deltaproteobacteria	94.0	Myxococcales	87.0	Polyangiaceae	78.0	Byssovorax	56.0
OTU_504	0	2	0	3	1	0	0	6	2	1	0	1	3	2	1	1	0	1	3	2	1	0	1	0	0	0	0	4	0	1	0	5	0	0	0	1	1	1	0	2	1	0	0	1	0	0	0	1	5	0	1	0	0	4	0	2	1	5	0	0	2	2	0	3	1	7	2	1	2	0	4	2	0	3	0	0	2	1	2	3	1	4	1	2	1	0	0	0	1	2	1	3	1	0	2	1	2	Bacteria	100.0	Chloroflexi	95.0	Thermomicrobia	94.0	JG30-KF-CM45	92.0	JG30-KF-CM45_unclassified	92.0	JG30-KF-CM45_unclassified	92.0
OTU_505	0	14	0	8	12	1	3	3	2	0	0	23	0	2	8	3	1	2	1	8	0	8	0	0	0	0	0	1	0	6	2	3	0	0	0	14	0	1	1	45	1	1	0	13	0	0	0	0	5	0	0	0	0	4	13	10	3	2	0	0	5	6	0	7	7	0	6	11	5	0	11	1	0	2	2	0	6	28	15	10	5	0	2	2	15	0	1	1	2	3	0	5	0	1	0	1	0	Bacteria	100.0	Bacteroidetes	100.0	Flavobacteriia	100.0	Flavobacteriales	100.0	Flavobacteriaceae	100.0	Flavobacterium	100.0
OTU_506	0	57	0	34	32	1	30	45	23	14	0	13	13	7	11	0	7	11	5	22	7	35	13	3	4	0	0	48	2	8	21	9	0	0	0	15	7	5	1	7	18	14	2	78	0	0	2	9	23	1	3	0	0	23	40	15	2	24	1	0	22	41	4	18	39	35	41	2	11	3	14	0	0	0	3	0	15	3	56	2	22	4	10	1	11	2	2	5	0	54	1	3	13	0	31	2	0	Bacteria	100.0	Proteobacteria	100.0	Deltaproteobacteria	100.0	Desulfobacterales	100.0	Nitrospinaceae	100.0	Candidatus_Entotheonella	100.0
OTU_507	0	43	7	12	25	8	17	35	14	7	0	54	14	3	20	12	2	4	3	25	14	13	12	2	8	1	0	35	1	7	11	8	2	0	0	20	5	4	5	57	26	6	6	33	0	2	1	9	9	2	2	0	0	18	19	18	6	25	1	0	6	15	1	24	20	31	19	14	5	1	22	13	0	6	3	1	25	30	39	30	9	4	10	6	30	0	5	6	4	17	1	6	9	0	16	7	2	Bacteria	100.0	Bacteroidetes	100.0	Sphingobacteriia	100.0	Sphingobacteriales	100.0	Chitinophagaceae	100.0	Terrimonas	76.0
OTU_508	0	0	4	2	0	11	0	1	1	11	2	2	13	12	1	4	1	3	1	1	5	0	9	0	8	2	0	16	0	0	0	2	0	0	0	0	4	1	2	4	11	0	6	1	0	0	0	6	16	3	0	1	0	11	2	3	3	16	0	0	1	1	4	31	1	20	1	1	4	1	2	3	0	5	2	5	3	2	1	1	16	11	20	6	1	1	5	9	6	1	0	4	8	0	12	7	3	Bacteria	100.0	Actinobacteria	100.0	Thermoleophilia	100.0	Gaiellales	100.0	Gaiellales_unclassified	100.0	Gaiellales_unclassified	100.0
OTU_509	0	10	3	8	8	7	11	20	11	4	0	25	7	1	9	6	1	4	3	13	12	8	5	1	5	2	0	15	0	4	2	13	0	0	0	3	3	2	0	33	8	4	1	11	0	1	0	2	8	0	0	0	0	14	10	8	2	14	3	0	5	9	2	5	6	13	12	7	3	0	19	12	0	6	0	2	8	18	8	10	2	0	11	2	14	0	4	5	1	16	1	2	7	1	2	4	1	Bacteria	100.0	Bacteroidetes	100.0	Sphingobacteriia	100.0	Sphingobacteriales	100.0	env.OPS_17	100.0	env.OPS_17_unclassified	100.0
OTU_510	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	29	0	0	0	4	0	0	1	1	0	45	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	100.0	Thaumarchaeota	100.0	Marine_Group_I	100.0	Unknown_Order	100.0	Unknown_Family	100.0	Candidatus_Nitrosoarchaeum	100.0
OTU_511	0	0	3	0	0	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	6	1	0	0	0	0	0	1	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	2	0	0	0	0	0	4	0	0	1	1	1	0	0	0	1	0	7	1	4	1	0	1	0	0	12	11	3	0	2	9	6	2	0	2	2	0	0	1	7	1	Bacteria	100.0	Planctomycetes	84.0	Planctomycetacia	66.0	Planctomycetales	66.0	Planctomycetaceae	66.0	Planctomycetaceae_unclassified	66.0
OTU_512	0	3	2	5	4	3	1	6	1	4	0	4	7	4	2	5	0	2	4	4	5	2	1	1	10	0	0	4	0	2	0	2	0	0	0	2	0	0	0	3	6	1	3	2	0	0	0	4	7	1	0	0	0	3	0	1	5	5	0	0	3	1	1	5	1	5	0	0	3	0	4	5	0	3	1	0	2	1	5	1	4	2	5	3	1	0	1	1	1	0	1	3	2	0	5	2	2	Bacteria	100.0	Planctomycetes	100.0	Phycisphaerae	100.0	Pla1_lineage	100.0	Pla1_lineage_unclassified	100.0	Pla1_lineage_unclassified	100.0
OTU_513	0	6	0	0	10	0	6	4	2	0	0	31	0	0	13	0	0	0	0	5	0	4	0	0	0	0	0	0	1	0	4	0	0	0	0	11	0	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	0	2	13	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	1	0	4	1	3	1	0	0	0	0	16	0	0	0	0	3	0	0	0	0	0	0	0	Bacteria	100.0	Actinobacteria	100.0	MB-A2-108	100.0	MB-A2-108_unclassified	100.0	MB-A2-108_unclassified	100.0	MB-A2-108_unclassified	100.0
OTU_514	0	1	1	10	5	6	0	2	1	3	0	2	6	5	4	6	0	1	1	0	5	2	2	0	2	1	0	9	0	0	1	1	0	0	0	2	2	1	0	4	5	0	3	1	0	0	0	2	12	2	2	0	0	6	0	9	0	7	1	0	6	2	0	21	1	9	0	0	8	0	5	5	0	7	0	2	1	3	2	1	17	4	14	5	1	1	2	4	4	0	0	1	2	1	4	4	1	Bacteria	99.0	Planctomycetes	97.0	OM190	93.0	OM190_unclassified	93.0	OM190_unclassified	93.0	OM190_unclassified	93.0
OTU_515	0	11	2	6	4	1	6	8	6	5	0	8	10	8	8	3	1	6	4	8	6	6	3	1	5	0	0	5	0	7	7	6	1	0	0	2	3	2	0	17	7	4	0	14	0	0	1	1	7	1	0	0	0	4	9	9	1	7	0	0	2	6	0	5	11	6	10	7	3	0	16	6	0	1	1	0	2	11	13	6	9	0	4	1	5	1	1	0	3	15	0	1	0	0	5	1	0	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhizobiales	100.0	JG34-KF-361	99.0	JG34-KF-361_unclassified	99.0
OTU_516	0	0	2	8	0	1	0	0	0	3	0	0	0	2	0	2	0	3	1	0	4	1	0	1	2	1	0	2	0	1	0	4	0	0	0	1	1	3	0	3	1	0	2	1	0	0	0	3	5	0	0	0	0	4	0	0	2	4	1	0	4	0	0	6	0	2	0	2	3	0	9	3	0	0	0	0	0	3	0	0	7	0	2	4	0	0	1	0	4	1	1	1	0	0	1	1	0	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhodospirillales	100.0	JG37-AG-20	99.0	JG37-AG-20_unclassified	99.0
OTU_517	0	10	0	2	3	1	6	13	3	1	0	12	0	1	10	1	0	0	2	5	0	8	5	2	2	0	0	5	0	1	4	0	0	0	0	1	2	0	0	1	3	4	0	7	0	0	0	1	5	0	0	0	0	0	8	7	0	0	0	0	1	4	0	2	4	4	8	0	0	1	1	2	0	1	0	1	5	1	6	0	1	1	2	0	6	0	0	1	1	7	0	2	2	0	4	0	1	Bacteria	100.0	Actinobacteria	100.0	Acidimicrobiia	85.0	Acidimicrobiales	85.0	Acidimicrobiaceae	53.0	Acidimicrobiaceae_unclassified	53.0
OTU_518	0	22	2	7	3	18	6	16	14	6	4	57	14	9	37	7	26	2	6	15	9	8	8	7	6	1	0	16	22	6	10	10	5	0	1	3	6	4	4	26	13	5	12	23	0	9	5	5	11	5	12	6	0	11	7	5	10	12	4	0	9	8	6	16	17	29	15	4	0	10	24	19	0	22	4	7	4	24	12	9	12	9	22	7	47	2	6	14	1	11	3	7	10	9	15	13	1	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhizobiales	100.0	Hyphomicrobiaceae	100.0	Rhodoplanes	100.0
OTU_519	0	3	1	12	5	0	2	2	1	23	0	2	8	5	2	6	1	5	8	0	4	2	4	0	12	2	0	5	0	0	0	13	0	0	0	1	3	5	2	2	8	0	2	0	0	0	1	7	23	3	1	0	0	13	3	7	0	22	4	0	9	2	1	31	1	9	0	3	5	1	18	8	0	3	0	1	0	7	0	1	16	6	1	3	1	0	4	2	1	1	1	1	2	0	6	5	1	Bacteria	100.0	Proteobacteria	77.0	Deltaproteobacteria	74.0	Myxococcales	63.0	Myxococcales_unclassified	63.0	Myxococcales_unclassified	63.0
OTU_520	0	0	0	0	0	7	0	0	0	1	0	0	0	0	3	2	1	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	1	0	1	0	4	0	0	0	1	1	0	1	1	1	0	4	0	3	1	0	1	1	0	10	23	6	0	0	6	12	3	0	0	4	0	0	0	10	0	Bacteria	100.0	Proteobacteria	100.0	Betaproteobacteria	100.0	SC-I-84	100.0	SC-I-84_unclassified	100.0	SC-I-84_unclassified	100.0
OTU_521	0	2	2	5	11	4	1	2	0	5	0	4	11	2	1	11	1	4	0	0	8	1	12	0	11	2	0	34	0	2	2	2	0	0	0	5	7	2	5	11	12	0	9	3	0	1	1	2	1	5	1	0	0	2	1	15	5	4	4	0	8	1	9	11	1	19	2	2	2	0	5	10	0	6	1	7	5	4	5	4	6	21	42	9	1	3	9	15	10	3	1	20	2	1	12	12	1	Bacteria	100.0	Bacteroidetes	100.0	Sphingobacteriia	98.0	Sphingobacteriales	98.0	Chitinophagaceae	98.0	Chitinophagaceae_unclassified	98.0
OTU_522	0	1	0	0	0	1	0	0	0	0	4	1	0	0	0	1	33	0	0	0	4	0	0	25	3	0	2	0	65	0	0	0	6	1	0	0	0	0	0	0	1	0	1	0	0	18	56	0	1	0	0	5	0	1	0	1	2	0	1	0	1	1	0	0	0	1	0	1	0	16	1	2	0	0	24	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	16	0	1	0	Bacteria	100.0	Acidobacteria	100.0	Acidobacteria	100.0	Subgroup_2	100.0	Subgroup_2_unclassified	100.0	Subgroup_2_unclassified	100.0
OTU_523	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	1	26	0	0	0	0	0	0	18	0	0	0	1	3	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	15	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	1	0	Bacteria	100.0	Acidobacteria	100.0	Acidobacteria	100.0	Subgroup_2	100.0	Subgroup_2_unclassified	100.0	Subgroup_2_unclassified	100.0
OTU_524	0	9	2	0	0	1	4	3	1	0	0	2	0	1	1	2	0	0	0	4	1	5	3	0	5	0	0	2	0	0	3	0	0	0	0	0	1	0	0	19	7	5	2	2	0	0	0	0	2	0	0	0	0	0	6	1	1	0	0	0	0	6	1	0	1	3	5	3	1	1	0	5	0	2	0	0	3	9	7	4	3	1	3	5	1	0	1	3	5	2	0	1	1	0	1	3	0	Bacteria	100.0	Bacteroidetes	100.0	Sphingobacteriia	100.0	Sphingobacteriales	100.0	Chitinophagaceae	100.0	Niastella	83.0
OTU_525	0	9	1	1	8	3	1	13	5	1	0	6	15	1	3	2	0	0	2	5	1	1	9	0	0	1	0	13	2	2	3	2	0	0	0	5	5	0	0	4	11	1	1	9	0	1	2	0	2	1	0	0	0	6	7	8	1	2	0	0	0	5	4	3	3	20	4	1	1	0	1	2	0	1	2	3	8	4	6	2	4	4	3	1	1	1	0	3	0	3	0	6	6	2	9	2	0	Bacteria	100.0	Chloroflexi	100.0	KD4-96	100.0	KD4-96_unclassified	100.0	KD4-96_unclassified	100.0	KD4-96_unclassified	100.0
OTU_526	0	8	0	4	10	0	2	6	0	3	0	0	7	0	1	0	0	2	0	7	2	1	5	0	1	0	0	4	0	4	2	3	0	0	0	7	0	1	0	1	4	0	1	5	0	0	0	2	4	0	0	0	0	1	6	12	1	1	0	0	1	3	0	6	9	11	5	0	1	0	3	1	0	0	0	1	15	2	4	0	8	1	0	0	0	0	0	1	0	3	0	0	0	0	7	0	0	Bacteria	100.0	Bacteroidetes	100.0	Sphingobacteriia	100.0	Sphingobacteriales	100.0	PHOS-HE51	100.0	PHOS-HE51_unclassified	100.0
